*** ACCU-RATES REPORT ***

Kinetic Parameters:
Km (95%): 4.665203 +/- 0.032665
Vmax (95%): 0.000988 +/- 5e-06

Initial Rates:
S0,v0
50.0,0.0009035562845274213
10.0,0.0006736093123389988
5.0,0.0005110403341768103
1.0,0.00017437357139674225
0.5,9.562660671327212e-05
0.1,2.0730736216208548e-05

***********************
*Approximate* Kinetic Parameters:
Km: 3.569807
Vmax: 0.00102

*Approximate* Initial Rates:
S0,v0
50.0,0.0009096129279819564
10.0,0.0008323544701537372
5.0,0.0005856405207841477
1.0,0.00017391303583874022
0.5,9.572059369905472e-05
0.1,2.0835210888506666e-05
